鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,金寧鄉,房地(土地+建物),金門縣金寧鄉盤山村測段190、190-2、188-6地號,36.7,其他,Unnamed: 5,Unnamed: 6,1120531,土地3建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,Unnamed: 14,90.2,3,2,2.1,有,無,6160000,68293,Unnamed: 23,0.0,0,Unnamed: 26,RPPNMLLMNHIGFAW66CB,金門縣金寧鄉盤山村測段190、190-2、188-6地號集合住宅新建工程,C32F棟14號,Unnamed: 30,來源資料夾,38.43,1120820,94.46,6600000,69871,RPPNMLLLQHIGFAW86CB,C12F棟16號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物),金門縣金寧鄉安西劃段,31.02,其他,,,1120629.0,土地1建物1車位0,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,70.93,3.0,2.0,2.0,有,無,4600000.0,64853.0,,0.0,0.0,,RPPNMLNJPHIGFAW76CB,光前首澤,C2棟0號,,112_03,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金湖鎮,房地(土地+建物),金門縣金湖鎮羅劃測段200，201地號,106.38,住,,,1120728.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,208.86,4.0,1.0,5.0,有,無,11180000.0,53529.0,,0.0,0.0,,RPPNMLNLQHIGFAW07CB,陽光寬庭,C棟6號,,112_03,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物)+車位,金門縣金寧鄉盤山村頂堡99之5號後方,41.48,其他,,,1120731.0,土地1建物1車位1,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,97.18,3.0,2.0,2.0,有,無,7600000.0,78205.0,一樓平面,0.0,400000.0,車位為法定空地車位,RPPNMLOLQHIGFAW27DB,晴山馥居,C2號,,112_03,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物),金門縣金寧鄉寧湖二劃測段1217地號,,其他,,,,土地1建物1車位0,四層,5.0,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,,,湖峰華居集合住宅新建工程,,,112_04,50.0,1120814.0,105.67,8300000.0,78546.0,RPPNMLPLQHIGFAW27CB,A1幢B1棟4A號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物),金門縣金寧鄉寧湖二劃測段1217地號,,其他,,,,土地1建物1車位0,一層,5.0,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,,,湖峰華居集合住宅新建工程,,,112_04,50.0,1120815.0,103.96,8690000.0,83590.0,RPQNMLPLQHIGFAW37CB,A1幢B1棟1A號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物),金門縣金寧鄉盤山村測段190、190-2、188-6地號,,其他,,,,土地3建物1車位0,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,,,金門縣金寧鄉盤山村測段190、190-2、188-6地號集合住宅新建工程,,,112_04,36.82,1120917.0,90.49,6180000.0,68295.0,RPPNMLSKRHIGFAW57CB,C42F棟17號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金城鎮,房地(土地+建物),金門縣金城鎮金門城測段837及838-1地號,,住,,,,土地2建物1車位0,三層,5.0,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,,2.0,2.0,2.0,有,無,,,,0.0,0.0,,,酒鄉,,,112_04,33.61,1120825.0,80.87,5080000.0,62817.0,RPRNMLMLRHIGFAW27CB,A1B1棟C3號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物)+車位,金門縣金寧鄉盤山村頂堡99之5號後方,,其他,,,,土地1建物1車位1,三層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,其他,0.0,400000.0,車位為法定空地車位,,晴山馥居,,,112_04,39.64,1120903.0,93.08,7240000.0,77783.0,RPPNMLPLRHIGFAW47DB,C4號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金城鎮,房地(土地+建物),金門縣金城鎮金門城測段837及838-1地號,,住,,,,土地2建物1車位0,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,,,酒鄉,,,112_04,45.17,1120921.0,108.66,6250000.0,57519.0,RPPNMLMJIIIGFAW68CB,A1B1棟C2號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物),金門縣金寧鄉盤山村測段190、190-2、188-6地號,,其他,,,,土地3建物1車位0,一層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,,,金門縣金寧鄉盤山村測段190、190-2、188-6地號集合住宅新建工程,,,112_04,35.58,1121013.0,87.45,6550000.0,74900.0,RPPNMLNKIIIGFAW88CB,C31F棟18號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金城鎮,房地(土地+建物),金門縣金城鎮金門城測段837及838-1地號,,住,,,,土地2建物1車位0,四層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,2.0,2.0,2.0,有,無,,,,0.0,0.0,,,酒鄉,,,112_04,33.61,1121009.0,80.87,5350000.0,66156.0,RPPNMLKLIIIGFAW68CB,A1B1棟C3號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物),金門縣金寧鄉后沙劃測段16地號,,其他,,,,土地1建物1車位0,四層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,,,龍成后江灣二期集合住宅新建工程,,,112_04,43.11,1120928.0,104.08,6200000.0,59570.0,RPPNMLOLIIIGFAW56DB,1棟4F-C4號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物),金門縣金寧鄉盤山村測段188-3、188-4、190-3地號,,其他,,,,土地3建物1車位0,四層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,,,金門縣金寧鄉盤山村測段188-3、188-4、190-3地號集合住宅新建工程,,,112_04,39.05,1121020.0,93.58,7000000.0,74802.0,RPPNMLRLIIIGFAW76CB,B1C14F棟1號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物),金門縣金寧鄉盤山村測段188-3、188-4、190-3地號,,其他,,,,土地3建物1車位0,四層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,含法定車位約定車位編號6號,,金門縣金寧鄉盤山村測段188-3、188-4、190-3地號集合住宅新建工程,,,112_04,36.04,1121028.0,86.38,6880000.0,79648.0,RPPNMLKMIIIGFAW78CB,B2C24F棟224號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物),金門縣金城鎮金門城測段670地號,,其他,,,,土地1建物1車位0,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,,,金門縣金城鎮金門城測段670地號集合住宅新建工程,,,112_04,32.29,1121030.0,80.43,5400000.0,67139.0,RPPNMLLJJIIGFAW68CB,C25F棟25號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物),金門縣金城鎮金門城測段670地號,,其他,,,,土地1建物1車位0,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,,,金門縣金城鎮金門城測段670地號集合住宅新建工程,,,112_04,32.29,1121030.0,80.43,5400000.0,67139.0,RPQNMLLJJIIGFAW78CB,C25F棟25號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物),金門縣金寧鄉盤山村測段188-3、188-4、190-3地號,,其他,,,,土地3建物1車位0,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,含法定車位約定車位編號5號,,金門縣金寧鄉盤山村測段188-3、188-4、190-3地號集合住宅新建工程,,,112_04,39.05,1121022.0,93.58,7350000.0,78542.0,RPRNMLLJJIIGFAW88CB,B1C12F棟112號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物),金門縣金寧鄉盤山村測段188-3、188-4、190-3地號,,其他,,,,土地3建物1車位0,三層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,含法定車位約定車位編號8號,,金門縣金寧鄉盤山村測段188-3、188-4、190-3地號集合住宅新建工程,,,112_04,39.05,1121029.0,93.58,7460000.0,79718.0,RPPNMLQJJIIGFAW56CB,B1C13F棟113號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物),金門縣金寧鄉盤山村測段188-3、188-4、190-3地號,,其他,,,,土地3建物1車位0,三層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,含法定車位約定車位編號3號,,金門縣金寧鄉盤山村測段188-3、188-4、190-3地號集合住宅新建工程,,,112_04,36.04,1121105.0,86.38,6880000.0,79648.0,RPQNMLQJJIIGFAW66CB,B2C23F棟223號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物),金門縣金寧鄉盤山村測段190、190-2、188-6地號,,其他,,,,土地3建物1車位0,一層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,,,金門縣金寧鄉盤山村測段190、190-2、188-6地號集合住宅新建工程,,,112_04,34.52,1121106.0,84.82,6300000.0,74275.0,RPPNMLRJJIIGFAW66CB,C11F棟19號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物),金門縣金城鎮金門城測段670地號,,其他,,,,土地1建物1車位0,三層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,含法定車位約定車位編號2號土地款：2690000元+房屋款：2690000元，約定車位款：320000元，以上合計570萬元,,金門縣金城鎮金門城測段670地號集合住宅新建工程,,,112_04,33.82,1121103.0,84.26,5700000.0,67648.0,RPPNMLTJJIIGFAW86CB,C13F棟13號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物),金門縣金寧鄉盤山村測段188-3、188-4、190-3地號,,其他,,,,土地3建物1車位0,三層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,含法定車位約定車位編號4號,,金門縣金寧鄉盤山村測段188-3、188-4、190-3地號集合住宅新建工程,,,112_04,37.96,1121109.0,90.99,7220000.0,79349.0,RPQNMLTJJIIGFAW96CB,B1C23F棟123號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金城鎮,房地(土地+建物),金門縣金城鎮金門城測段837及838-1地號,,住,,,,土地2建物1車位0,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,2.0,2.0,2.0,有,無,,,,0.0,0.0,,,酒鄉,,,112_04,33.61,1121026.0,80.87,4980000.0,61580.0,RPPNMLOKJIIGFAW09CB,A1B1棟C3號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金城鎮,房地(土地+建物),金門縣金寧鄉后沙劃測段16地號,,其他,,,,土地1建物1車位0,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,,,龍成后江灣二期集合住宅新建工程,,,112_04,43.11,1121031.0,104.08,6400000.0,61491.0,RPPNMLOKJIIGFAW56DB,1棟5F-C2號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物)+車位,金門縣金寧鄉盤山村頂堡99之5號後方,,其他,,,,土地1建物1車位1,一層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,一樓平面,0.0,400000.0,車位為法定空地車位,,晴山馥居,,,112_04,41.48,1121107.0,97.18,7700000.0,79234.0,RPPNMLKLJIIGFAW88DB,C2號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物),金門縣金寧鄉盤山村頂堡99之5號後方,,其他,,,,土地1建物1車位0,三層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,車位為法定空地車位,,晴山馥居,,,112_04,41.48,1121107.0,97.18,7240000.0,74501.0,RPQNMLKLJIIGFAW98DB,C2號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物)+車位,金門縣金寧鄉盤山村頂堡99之5號後方,,其他,,,,土地1建物1車位1,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,一樓平面,0.0,400000.0,車位為法定空地車位,,晴山馥居,,,112_04,39.64,1121031.0,93.08,7450000.0,80039.0,RPRNMLKLJIIGFAW09DB,C4號
